"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2284","basic test","Chrome","Fri Jun 27 14:15:06 IST 2025","passed","Fri Jun 27 14:15:09 IST 2025","","example.spec.ts","",""
"","3593","basic test","iPhone","Fri Jun 27 14:15:31 IST 2025","passed","Fri Jun 27 14:15:34 IST 2025","","example.spec.ts","",""
"","4105","basic test","Firefox","Fri Jun 27 14:15:10 IST 2025","passed","Fri Jun 27 14:15:14 IST 2025","","example.spec.ts","",""
"","4666","basic test","Safari","Fri Jun 27 14:15:20 IST 2025","passed","Fri Jun 27 14:15:25 IST 2025","","example.spec.ts","",""
"","4106","basic test","ignoreHttpsErrors","Fri Jun 27 14:15:36 IST 2025","passed","Fri Jun 27 14:15:40 IST 2025","","example.spec.ts","",""
"","4159","basic test","differentPermission","Fri Jun 27 14:15:41 IST 2025","passed","Fri Jun 27 14:15:45 IST 2025","","example.spec.ts","",""
